CUI	               Name	               Odds ratio (ASD vs Non-psychiatric)	               Odds ratio (ASD vs Psychiatric)	               Frequency (%, positive, ASD)	               Frequency (%,negative, ASD)	               Frequency (%,positive, Non-psychiatric)	               Frequency (%,negative, Non-psychiatric)	               Frequency (%,positive, Psychiatric)	               Frequency (%,negative, Psychiatric)	               TUI
C0023529	Periventricular Leucomalacia	6.0	0.5	0.7009	0.1168	1.4019	0.0	0.0	0.1168	T047
C0679114	intense emotion	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.0	T041
C1954751	microdeletion syndrome	6.0	6.0	0.7009	0.0	0.1168	0.0	0.1168	0.0	T047
C1136374	Healthy People Programs	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.0	T058
C0034013	Puberty;precocious	6.0	1.5	0.7009	0.0	0.4673	0.0	0.1168	0.0	T047
C4230563	Headaches, severe (in some patients)	6.0	0.5455	0.7009	0.0	1.285	0.0	0.0	0.0	T033
C0152030	skin irritation	6.0	2.0	0.7009	0.1168	0.3505	0.1168	0.0	0.0	T033
C0677660	Emotional Problem	6.0	6.0	0.7009	0.0	0.2336	0.2336	0.0	0.1168	T048
C2372078	Initiating social interactions	6.0	6.0	0.7009	0.1168	0.1168	0.0	0.0	0.0	T054
C4274392	Baseline diastolic blood pressure	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T033
C0234518	SLURRED SPEECH	6.0	0.8571	0.7009	0.0	0.8178	0.1168	0.1168	0.0	T033
C1846040	Limited memory, attention, language	6.0	0.8571	0.7009	0.0	0.8178	0.0	0.0	0.0	T033
C0262504	HEEL CORD TIGHTNESS	6.0	0.6	1.4019	0.2336	1.1682	0.1168	0.1168	0.0	T184
C4068798	Pinpoint	6.0	6.0	0.7009	0.1168	0.0	0.1168	0.0	0.0	T033
C0205169	Bad	6.0	0.75	0.7009	0.0	0.9346	0.0	0.1168	0.0	T080
C3869780	Health concerns	6.0	1.5	0.7009	0.0	0.4673	0.1168	0.0	0.0	T033
C0870569	Fluency	6.0	0.4615	0.7009	0.0	3.0374	0.2336	0.0	0.0	T080
C0744247	GAIT CHANGE	6.0	5.3333	0.7009	0.1168	1.0514	0.9346	0.1168	0.1168	T184
C4065477	difficulty awakening in the morning	6.0	0.75	0.7009	0.1168	0.9346	0.0	0.0	0.0	T184
C2678143	Decreased attention span	6.0	0.6	0.7009	0.0	1.1682	0.0	0.0	0.0	T033
C0006287	bronchopulmonary dysplasia	6.0	2.0	0.7009	0.1168	0.3505	0.1168	0.0	0.0	T047
C0857072	hand shaking	6.0	3.0	0.7009	0.0	0.2336	0.0	0.1168	0.0	T184
C1854882	Absent speech	6.0	0.75	0.7009	0.0	0.9346	0.1168	0.0	0.0	T033
C1847390	Mild distal sensory deficits	6.0	0.6667	0.7009	0.0	1.0514	0.1168	0.0	0.0	T033
C0234543	post-ictal state	6.0	1.0	0.2336	0.1168	0.2336	0.1168	0.0	0.3505	T033
C2115901	thought processes executive functions problem-solving	6.0	1.2	0.7009	0.0	0.5841	0.0	0.1168	0.0	T033
C0577376	Difficulty organizing a journey	6.0	2.4	0.7009	0.1168	1.1682	0.4673	0.0	0.0	T033
C2108053	continuous axillary murmur sounds like washing machine	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T033
C0234369	Tremble	6.0	6.0	0.7009	0.1168	0.1168	0.0	0.0	0.0	T184
C0566588	Compliant (qualifier value)	6.0	1.5	0.7009	0.0	0.4673	0.0	0.1168	0.0	T080
C0040921	Trichomonas Infection	6.0	0.75	0.7009	0.0	0.9346	0.0	0.0	0.0	T047
C0424531	Funny turn (finding)	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.0	T033
C0232200	Gallop rhythm	6.0	2.0	1.4019	0.2336	0.7009	0.2336	0.0	0.0	T033
C0517108	Uses phrases of two to three words	6.0	2.0	0.7009	0.1168	1.0514	0.3505	0.0	0.0	T033
C0009952	febrile convulsion	6.0	0.75	1.4019	0.3505	1.8692	0.3505	0.2336	0.3505	T047
C4083076	Increased head circumference	6.0	0.8571	0.7009	0.0	0.8178	0.0	0.0	0.0	T033
C4064201	restricted, repetitive, and stereotyped patterns	6.0	0.75	0.7009	0.0	0.9346	0.1168	0.0	0.0	T033
C0313270	Decreased heme-heme interaction	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T033
C1522133	Hypercholesterolemia result	6.0	3.0	0.7009	0.0	0.2336	0.0	0.1168	0.0	T033
C1849229	Frequent illness	6.0	1.0	0.7009	0.0	0.7009	0.0	0.0	0.0	T033
C1282310	intermittent pain	6.0	0.5455	0.7009	0.0	1.285	0.0	0.1168	0.0	T184
C0555964	New medication added	6.0	3.0	0.7009	0.1168	0.2336	0.0	0.0	0.0	T033
C2127421	difficulty blinking on both sides	6.0	0.8571	0.7009	0.0	0.8178	0.1168	0.0	0.0	T184
C2219850	Loud snoring	6.0	1.2	0.7009	0.0	0.5841	0.0	0.0	0.0	T184
C0006019	boredom	6.0	2.0	0.7009	0.0	0.3505	0.0	0.1168	0.0	T041
C0589521	Skills relating to executive cognitive functions	6.0	1.2	0.7009	0.1168	0.5841	0.0	0.0	0.0	T041
C0871370	learning skills	6.0	6.0	0.7009	0.0	0.1168	0.0	0.0	0.0	T041
C2073781	child's high-pitched cry repeated episodes	6.0	2.4	1.4019	0.2336	0.5841	0.2336	0.1168	0.0	T184
C0596020	Does hit (finding)	6.0	1.0	0.7009	0.1168	0.7009	0.1168	0.0	0.0	T033
C0001721	Affect (mental function)	6.0	0.6667	0.7009	0.1168	1.0514	0.0	0.1168	0.0	T041
C0745587	LAB ABNORMALITY	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T033
C1820668	Uses support services for hearing impaired	6.0	0.75	0.7009	0.1168	0.9346	0.0	0.1168	0.0	T033
C0935560	Multiple Disabilities	6.0	0.5	0.7009	0.0	1.4019	0.0	0.1168	0.0	T047
C1555298	Added Concurrent Therapy	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T058
C1718151	One or more foot problems	6.0	0.5455	0.7009	0.0	1.285	0.0	0.0	0.0	T033
C0427345	Compliance with footwear	6.0	3.0	0.7009	0.0	0.2336	0.0	0.1168	0.0	T033
C0423058	Manifest vertical squint, eye up	6.0	2.0	0.7009	0.0	0.3505	0.1168	0.0	0.0	T033
C0237070	discipline	6.0	2.0	0.7009	0.0	0.7009	0.2336	0.0	0.0	T058
C0427108	General unsteadiness	6.0	0.4286	0.7009	0.0	1.6355	0.0	0.1168	0.0	T033
C0920296	developmental disorder; reading	6.0	0.3529	0.7009	0.0	1.986	0.0	0.0	0.0	T048
C0424300	Invades others' personal space	6.0	4.8	0.7009	0.1168	0.5841	0.4673	0.0	0.0	T033
C0149775	Fit frequency	6.0	1.3333	0.7009	0.1168	1.0514	0.2336	0.1168	0.0	T033
C0677101	Establish an appropriate regimen	6.0	1.5	0.7009	0.0	0.4673	0.0	0.1168	0.0	T058
C0030232	Pallor	6.0	1.0	1.4019	0.3505	2.3364	0.5841	0.2336	0.3505	T033
C0028968	Atrophy, Olivopontocerebellar	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.0	T047
C3534689	Other speech language pathology functional limitation, current status at therapy episode outset and at reporting intervals	6.0	1.5	0.7009	0.0	0.4673	0.0	0.0	0.0	T033
C2182616	milestone: imitates simple daily tasks	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.0	T033
C0513547	Monitor newborn's weight	6.0	0.6667	0.7009	0.1168	1.0514	0.0	0.1168	0.0	T058
C0565735	Difficulty winding up watch	6.0	1.2	0.7009	0.0	0.5841	0.0	0.1168	0.0	T033
C3828954	Most Times	6.0	0.4286	0.7009	0.1168	1.6355	0.1168	0.0	0.0	T033
C0150810	Toileting activity	6.0	1.5	0.7009	0.0	0.4673	0.0	0.1168	0.0	T056
C3261723	Grasping - difficulty	6.0	1.0	0.7009	0.1168	0.7009	0.0	0.0	0.0	T033
C0814471	comprehensive treatment program	6.0	1.5	0.7009	0.0	0.4673	0.0	0.0	0.0	T058
C0010380	Croup	6.0	2.0	0.7009	0.1168	0.3505	0.0	0.0	0.0	T047
C0856983	babble	6.0	2.4	0.7009	0.0	0.5841	0.2336	0.0	0.0	T055
C0237133	Neighborhood/workplace safety - other	6.0	1.5	0.7009	0.0	0.4673	0.0	0.0	0.0	T033
C0562438	Behavior ignored	6.0	0.8571	0.7009	0.1168	0.8178	0.0	0.0	0.0	T033
C0238707	Impairment of attention	6.0	1.5	0.7009	0.0	0.4673	0.0	0.1168	0.0	T048
C0392663	Infection by Wuchereria bancrofti	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T047
C2081546	placement in residential treatment program	6.0	0.8571	0.7009	0.1168	0.8178	0.0	0.0	0.0	T058
C0436331	Symptom aggravating factor NOS	6.0	2.7692	0.7009	0.1168	1.5187	0.7009	0.1168	0.0	T033
C0679047	perseverative thinking	6.0	2.0	0.7009	0.1168	0.3505	0.0	0.1168	0.0	T048
C0234877	Whining	6.0	0.75	0.7009	0.1168	0.9346	0.0	0.1168	0.0	T055
C3161740	emotional support from social worker	6.0	1.0	0.7009	0.0	0.7009	0.0	0.0	0.0	T033
C3845824	Extra dose	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.1168	T033
C0454633	Articulatory defect	6.0	1.0	0.7009	0.0	0.7009	0.0	0.0	0.0	T033
C4231438	Speech delay, mild	6.0	2.0	0.7009	0.0	0.3505	0.0	0.0	0.0	T033
C2372114	Shared cooperative play	6.0	6.0	0.7009	0.0	0.1168	0.0	0.1168	0.0	T056
C2237418	blood pressure absent	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T033
C3840618	At much less risk	6.0	0.5455	0.7009	0.1168	1.285	0.0	0.0	0.0	T033
C0004271	Attitude	6.0	0.6	0.7009	0.0	1.1682	0.0	0.0	0.0	T041
C1514417	Previous Pain Treatment Assessment	6.0	1.0	0.7009	0.0	0.7009	0.0	0.0	0.1168	T058
C0582051	Feeling warm	6.0	0.6667	0.7009	0.0	1.0514	0.1168	0.1168	0.0	T033
C2129192	abdominal pain increasing in frequency	6.0	0.5	0.3505	0.0	1.4019	0.2336	0.0	0.2336	T184
C1320301	Advocacy service implemented	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T058
C3845955	Squirming, shifting back and forth, tense	6.0	3.0	0.7009	0.0	0.2336	0.0	0.0	0.0	T033
C3808493	Some show atypical features, such as nuclear pleomorphism	6.0	1.5	0.7009	0.0	0.4673	0.0	0.0	0.0	T033
C1821968	Academic performance at grade level or higher	6.0	0.8571	0.7009	0.0	0.8178	0.0	0.0	0.0	T033
C0149779	somatization	6.0	0.5	0.7009	0.0	1.4019	0.1168	0.1168	0.0	T048
C0001546	Disorder, Adjustment	6.0	0.4615	0.3505	0.0	1.5187	0.2336	0.1168	0.2336	T048
C1867123	Severe expressive speech delay	6.0	0.75	0.7009	0.0	0.9346	0.0	0.0	0.0	T033
C0021933	intussusception	6.0	1.0	0.2336	0.1168	0.2336	0.0	0.1168	0.3505	T047
C0009647	Conditioning, Psychology	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.7009	T041
C0560166	Additional behaviour observation	5.9167	1.3922	8.2944	0.3505	3.972	0.2336	0.4673	0.1168	T033
C0424366	Self-Harm	5.9093	1.0952	14.1355	25.1168	8.6449	16.8224	0.2336	2.4533	T033
C0175693	russell silvers syndrome	5.8333	0.5645	8.1776	0.4673	7.243	0.2336	0.3505	0.0	T047
C0235196	SUICIDAL TENDENCY	5.75	1.0455	2.6869	0.2336	1.285	0.0	0.2336	0.0	T033
C3553376	Poor responsiveness	5.6667	1.8889	1.986	0.1168	1.0514	0.0	0.3505	0.0	T033
C2034435	parental concerns: child's speech	5.6667	1.5455	1.986	0.1168	1.285	0.1168	0.3505	0.0	T184
C1398200	behavior; poor responsiveness	5.6667	0.8095	1.986	0.3505	1.6355	0.2336	0.0	0.0	T184
C2107828	consumption of food with high level of specific substance	5.6667	2.3611	1.986	0.3505	1.4019	0.5841	0.1168	0.0	T033
C2607914	Allergic rhinitis (disorder)	5.6667	2.125	1.986	0.1168	1.8692	0.2336	0.3505	0.0	T047
C0338908	mixed; disorder, anxiety and depressive	5.6667	1.3784	1.986	0.1168	4.3224	0.3505	0.3505	0.1168	T048
C3279701	Ataxia in those who survive	5.6667	1.2593	1.986	0.3505	1.0514	0.2336	0.0	0.1168	T033
C0040485	Torticollis (& [NOS])	5.6667	0.68	1.986	0.1168	2.9206	0.0	0.3505	0.0	T184
C0805586	challenge	5.6	1.0	3.271	0.1168	3.271	0.1168	0.5841	0.0	T058
C2945552	combined type attention-deficit hyperactivity disorder	5.5625	0.7063	10.3972	0.9346	14.7196	0.9346	0.2336	0.1168	T048
C0454643	Word finding difficulty (disorder)	5.5	2.0952	1.285	0.1168	2.4533	0.4673	0.2336	0.1168	T048
C0233794	Impairment;memory	5.5	0.44	1.285	0.0	2.9206	0.1168	0.2336	0.0	T048
C0014547	Partial Epilepsies	5.5	0.3929	1.285	0.2336	1.6355	0.0	0.1168	0.0	T047
C4084924	Clinical Evaluation	5.5	1.0	1.285	0.0	1.285	0.0	0.2336	0.0	T058
C0013720	EHLERS-DANLOS SYNDROME	5.5	0.4231	1.285	0.2336	1.5187	0.0	0.1168	0.0	T047
C0013170	Habituation, Drug	5.5	1.8333	1.285	0.1168	0.7009	0.0	0.2336	0.0	T048
C1960519	Sleep-onset association disorder	5.5	1.1	1.285	0.2336	0.5841	0.1168	0.1168	0.0	T048
C4036313	With some trouble	5.5	1.1	1.285	0.0	1.1682	0.0	0.2336	0.0	T033
C2372005	Pretending	5.5	0.88	1.285	0.2336	2.9206	0.4673	0.1168	0.1168	T041
C1827547	Repetitious behaviour	5.4545	1.9532	49.0654	7.7103	23.5981	7.243	0.8178	0.7009	T033
C4061374	Increase in anger behavior	5.3571	1.7857	8.7617	0.8178	4.9065	0.8178	0.2336	0.0	T033
C0009676	CONFUSION	5.3455	2.0214	17.1729	1.285	13.9019	2.1028	1.1682	0.4673	T048
C0700031	attack anxiety	5.3333	2.9091	1.8692	0.1168	2.5701	0.4673	0.3505	0.1168	T048
C0023014	language development disorders	5.3333	0.4848	1.8692	0.0	3.8551	0.1168	0.3505	0.0	T048
C1515927	Alternative Medical System	5.3333	0.381	1.8692	0.3505	1.6355	0.1168	0.0	0.0	T058
C0086437	Joint Laxity	5.3333	1.6	1.8692	0.1168	1.1682	0.1168	0.3505	0.0	T033
C0700184	Throat irritation	5.3	0.4417	6.1916	0.5841	2.8037	0.0	0.2336	0.0	T184
C0549262	Rebound effect	5.25	1.25	4.9065	0.9346	4.9065	1.1682	0.0	0.0	T033
C3275496	Behavioral difficulties	5.2313	1.3089	21.729	2.3364	15.771	2.2196	1.8692	1.0514	T033
C2371970	Learning through pretend play	5.2	2.7368	3.0374	0.5841	2.2196	1.1682	0.1168	0.0	T041
C0427092	Has a tic	5.2	1.3684	3.0374	0.5841	2.2196	0.5841	0.0	0.0	T184
C0235162	difficulties sleep	5.1812	1.1362	42.8738	3.972	33.2944	3.5047	2.9206	1.4019	T184
C0039231	Tachycardias	5.1	1.3077	7.9439	0.4673	9.1121	0.7009	1.1682	0.3505	T033
C0085639	Falling	5.0476	1.3783	24.7664	2.8037	16.472	2.5701	0.8178	0.4673	T033
C0424068	Verbal auditory hallucinations	5.0	5.0	1.1682	0.2336	0.4673	0.4673	0.1168	0.0	T184
C3843501	Never woken with this problem	5.0	1.5	0.5841	0.1168	1.1682	0.3505	0.0	0.0	T033
C0027538	Lipoidica necrobiosis	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.0	0.0	T047
C4061811	Inappropriate developmental expectations	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T033
C0233497	Insecurity	5.0	1.25	0.5841	0.0	0.4673	0.0	0.1168	0.0	T041
C0871712	deprivation	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.0	0.0	T080
C0022650	Calculus of kidney	5.0	0.625	0.5841	0.0	0.9346	0.1168	0.1168	0.0	T047
C0566009	Difficulty using non-verbal communication	5.0	1.0	0.5841	0.0	0.5841	0.1168	0.0	0.0	T033
C0009241	Disorders, Cognition	5.0	0.8824	1.1682	0.1168	3.972	0.3505	0.2336	0.0	T048
C0272386	tonsils hypertrophy	5.0	0.8333	0.5841	0.1168	0.7009	0.1168	0.0	0.0	T047
C0476254	DYSLEXIA	5.0	1.2245	2.3364	0.1168	5.7243	0.3505	0.4673	0.0	T048
C3845497	Therapy services	5.0	1.25	0.5841	0.0	0.4673	0.1168	0.0	0.0	T033
C0563116	Community environment	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T080
C0522336	Eyes rolling	5.0	3.3333	1.1682	0.0	0.3505	0.1168	0.2336	0.1168	T184
C0423523	Sounds are very loud	5.0	5.0	0.5841	0.0	0.1168	0.0	0.0	0.0	T033
C0428753	Audiological test finding	5.0	1.0	0.5841	0.1168	0.5841	0.0	0.1168	0.0	T033
C1845268	Lack of communication	5.0	0.4545	0.5841	0.0	1.285	0.0	0.0	0.0	T033
C0235160	Sleep restless	5.0	1.6667	5.257	1.0514	2.8037	0.9346	0.1168	0.0	T184
C3854597	Self soothing repetitive behavior	5.0	1.6667	0.5841	0.0	0.3505	0.1168	0.1168	0.0	T048
C0150080	Social Communication Disorder	5.0	2.6667	2.3364	0.2336	1.7523	0.4673	0.2336	0.0	T048
C2169461	recent change in medication	5.0	1.875	1.1682	0.2336	0.9346	0.3505	0.0	0.0	T033
C1845124	Relatively preserved limb strength	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T033
C0003081	anisometropia	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.0	0.0	T047
C0019159	a hepatitis	5.0	1.4286	0.5841	0.0	0.8178	0.2336	0.1168	0.0	T047
C2136386	using new toothpaste	5.0	0.6	2.9206	0.5841	2.9206	0.3505	0.1168	0.1168	T033
C0517172	Expresses increasingly complex thoughts	5.0	0.5769	1.7523	0.1168	3.0374	0.0	0.3505	0.0	T033
C0410422	chronic multifocal osteomyelitis	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T047
C0027873	NEUROMYELITIS OPTICA	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.0	0.0	T047
C0042798	Low vision	5.0	1.6667	0.5841	0.1168	0.3505	0.1168	0.1168	0.1168	T047
C0155829	Enlargement of tonsils or adenoids	5.0	0.8333	0.5841	0.1168	0.7009	0.1168	0.0	0.0	T047
C0086972	Separated from Cohabitee	5.0	0.7143	0.5841	0.1168	0.8178	0.1168	0.0	0.1168	T033
C1883646	completed fifth grade	5.0	1.0	0.5841	0.0	0.5841	0.0	0.0	0.0	T033
C3805922	Acantholytic changes (in some patients)	5.0	0.5556	0.5841	0.1168	1.0514	0.1168	0.1168	0.0	T033
C0008533	b haemophilia	5.0	1.0	0.5841	0.1168	0.5841	0.1168	0.1168	0.0	T047
C2182752	milestone: uses 2-3 word sentences	5.0	1.6667	0.5841	0.0	0.7009	0.2336	0.0	0.0	T033
C0562339	Regular daily routine	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T033
C1527347	Difficulty speaking	5.0	1.0	0.5841	0.0	0.5841	0.0	0.1168	0.0	T033
C0019993	Hospitalization	5.0	1.7857	0.5841	0.1168	1.6355	0.5841	0.0	0.0	T058
C0556016	[X] Single episode agitated depression without psychotic symptoms	5.0	2.5	0.5841	0.1168	0.4673	0.2336	0.0	0.0	T048
C4062507	Increase in physical symptoms	5.0	1.1111	0.5841	0.1168	1.0514	0.2336	0.1168	0.1168	T033
C4023482	Polymorphic focal epileptiform discharges	5.0	2.5	0.5841	0.1168	0.2336	0.1168	0.0	0.0	T033
C0037393	soccer	5.0	1.25	0.5841	0.0	0.4673	0.0	0.1168	0.0	T056
C0679972	peer relation	5.0	5.0	0.5841	0.0	0.1168	0.0	0.0	0.0	T054
C3841647	Slightly worse	5.0	0.8333	0.5841	0.1168	0.7009	0.0	0.0	0.0	T033
C3806728	Some response to L-DOPA therapy	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.1168	0.0	T033
C0458003	Developmental (qualifier value)	5.0	5.0	0.5841	0.0	0.1168	0.0	0.1168	0.0	T080
C0452136	Conductive hear loss,bilateral	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T047
C0000731	distended abdomen	5.0	2.5	1.1682	0.2336	1.1682	0.5841	0.3505	0.3505	T033
C0517142	Describes a recent experience	5.0	0.5882	1.1682	0.1168	1.986	0.0	0.2336	0.0	T033
C3511502	Transitional Care Evaluation and Management Services	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T058
C0004448	Awarenesses	5.0	0.3846	1.1682	0.2336	1.5187	0.1168	0.0	0.0	T041
C1850571	Slow gross motor activity	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T033
C1260957	blue color	5.0	0.4167	1.1682	0.2336	1.4019	0.1168	0.0	0.1168	T080
C3533236	Mean score	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T033
C0424373	head hits	5.0	5.0	0.5841	0.1168	0.1168	0.0	0.0	0.0	T033
C1280519	Effectiveness	5.0	1.0	0.5841	0.0	0.5841	0.1168	0.0	0.0	T080
C1821267	Sustained alertness during interaction	5.0	0.625	0.5841	0.0	0.9346	0.1168	0.0	0.0	T033
C0426642	Frequency of bowel action	5.0	1.25	0.5841	0.1168	0.4673	0.1168	0.0	0.0	T033
C2048111	implantable cardioverter-defibrillator evaluation last insertion date	5.0	0.303	2.3364	0.2336	3.8551	0.1168	0.2336	0.0	T033
C0035372	Rett's Syndrome	5.0	0.625	0.5841	0.1168	0.9346	0.1168	0.0	0.0	T047
C3899403	Decreased Concentration	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T184
C0037316	sleep deprivation	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T033
C2113888	estimated date of confinement (EDC) based on ultrasound	5.0	1.0	0.5841	0.0	0.5841	0.0	0.1168	0.0	T033
C0162770	Right ventricular hypertrophy	5.0	1.6667	0.5841	0.1168	0.3505	0.0	0.1168	0.0	T047
C0522498	rare	5.0	0.8333	0.5841	0.0	0.7009	0.0	0.0	0.1168	T080
C0026848	MYOPATHIES	5.0	0.625	0.5841	0.0	0.9346	0.1168	0.2336	0.2336	T047
C4021536	Mild conductive hearing impairment	5.0	0.5882	1.1682	0.0	1.986	0.0	0.2336	0.0	T033
C0011616	dermatitis; contact	5.0	1.0	0.5841	0.0	0.5841	0.0	0.1168	0.0	T047
C0026426	monitor blood pressure	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T058
C0517992	Opens eyes to external stimuli	5.0	0.4545	0.5841	0.1168	1.285	0.1168	0.0	0.0	T033
C0038220	epilepticus; status	5.0	3.0	0.5841	0.1168	0.5841	0.3505	0.1168	0.0	T047
C1545218	Cardiac screen assessment	5.0	2.5	2.9206	0.5841	1.8692	0.9346	0.0	0.0	T058
C0562453	Unpredictable behavior	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T033
C2230117	assumption of new identity in witness protection program	5.0	5.0	0.5841	0.0	0.1168	0.0	0.0	0.0	T033
C1321006	Dietary indiscretion	5.0	1.6667	0.5841	0.1168	0.3505	0.0	0.0	0.0	T033
C0566416	Does feed self	5.0	1.3636	1.7523	0.3505	1.285	0.3505	0.0	0.0	T033
C3261109	Attended a new school	5.0	0.8333	0.5841	0.1168	0.7009	0.1168	0.1168	0.0	T033
C3843218	A little (less often than usual)	5.0	1.6667	0.5841	0.1168	0.3505	0.0	0.0	0.0	T033
C2029411	having tantrums	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T184
C2186516	reported previous heart murmur	5.0	1.0	1.1682	0.1168	1.1682	0.1168	0.2336	0.0	T033
C4062021	Frequent accidents	5.0	1.0	0.5841	0.0	0.5841	0.0	0.0	0.0	T033
C1836388	Sensory axonal neuropathy, mild	5.0	5.0	0.5841	0.0	0.1168	0.0	0.0	0.0	T033
C0231402	Moderate anxiety	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.0	0.0	T033
C0577105	Decreased frequency of defecation (finding)	5.0	0.8333	0.5841	0.0	0.7009	0.1168	0.0	0.0	T184
C0018599	hardness	5.0	1.25	0.5841	0.1168	0.4673	0.0	0.0	0.0	T080
C0004377	Automatism	5.0	1.6667	0.5841	0.1168	0.7009	0.2336	0.0	0.0	T033
C0149825	hypertrophy adenoids	5.0	0.4545	1.1682	0.2336	1.285	0.1168	0.0	0.0	T047
C2106320	cognitive functions current level average	5.0	1.25	0.5841	0.1168	0.4673	0.0	0.0	0.0	T033
C0233717	Latency of speech response	5.0	1.25	0.5841	0.2336	0.2336	0.1168	0.0	0.2336	T048
C0401146	functional constipation	5.0	2.5	1.1682	0.0	0.4673	0.0	0.2336	0.0	T047
C0271514	Deafness, low frequency	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.1168	0.0	T047
C0270303	Anxiety disorder of adolescence, NOS	5.0	0.8333	0.5841	0.0	0.7009	0.0	0.1168	0.0	T048
C2016283	pacemaker initial programmed lower rate limit	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T033
C0085207	Gestational Diabetes	5.0	1.875	1.7523	0.1168	0.9346	0.0	0.3505	0.0	T047
C0239112	CONTACTS WITH SIMILAR SYMPTOMS	5.0	1.0	1.1682	0.1168	2.3364	0.2336	0.2336	0.1168	T033
C2196866	right hand nonfunctional with peg board	5.0	1.6667	0.5841	0.1168	0.3505	0.0	0.0	0.0	T033
C0302363	brucella abortus infection	5.0	5.0	0.5841	0.0	0.1168	0.1168	0.0	0.0	T047
C1849061	Occasional back pain	5.0	0.7143	0.5841	0.0	0.8178	0.0	0.0	0.0	T033
C1883622	completed second grade	5.0	0.8333	0.5841	0.0	0.7009	0.0	0.0	0.0	T033
C2018078	speech rate rapid	5.0	1.6667	0.5841	0.0	0.3505	0.0	0.0	0.0	T033
C0036857	Severe intellectual disability	5.0	0.8333	0.5841	0.0	0.7009	0.0	0.0	0.0	T048
C0436967	O/E - liver very hard	5.0	1.0	0.5841	0.0	0.5841	0.0	0.0	0.0	T033
C0043387	YAWNING	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T033
C0680104	change in sleeping habits	5.0	6.6667	0.5841	0.1168	0.3505	0.4673	0.0	0.0	T055
C0588008	severe; depression	5.0	0.6667	1.7523	0.3505	1.7523	0.2336	0.0	0.0	T048
C2080715	physical therapy potential	5.0	1.6667	0.5841	0.1168	0.3505	0.0	0.0	0.0	T033
C2169607	recent surgery	5.0	0.625	0.5841	0.0	0.9346	0.1168	0.0	0.0	T033
C0039235	Junctional Tachycardia, Ectopic	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T047
C0032460	syndrome; ovary, polycystic	5.0	5.0	0.5841	0.1168	0.1168	0.0	0.0	0.0	T047
C0239134	cough productive	5.0	1.25	0.5841	0.0	0.4673	0.0	0.0	0.0	T033
C0017187	gastrointestinal problem	5.0	2.5	0.5841	0.0	0.2336	0.0	0.0	0.0	T033
C3532933	Moderate expressive language delay	5.0	0.625	0.5841	0.0	0.9346	0.0	0.0	0.0	T048
C1865057	Hypotonia, mild	5.0	0.7143	0.5841	0.0	0.8178	0.0	0.1168	0.0	T033
C2367670	recent weight gain intentional	5.0	0.8333	0.5841	0.1168	0.7009	0.0	0.0	0.0	T184
C2219852	anxiety with persistent worry	5.0	1.0	0.5841	0.1168	0.5841	0.1168	0.0	0.1168	T184
