NER,src
"cannot initiate conversation", Plos General
"social engagement and responsiveness possible loss", ADAR
"unusual noises", Plos General
"engaging in social conversation", ASDPTO,ADAR
"perseverates on various topics", Plos General
"making hee-haw sounds", Plos General
"repeatedly turning over hands", Plos General
"eye contact is virtually nill", Plos General
"speech delayed", Plos General
"poor treatment by others in social settings", ASDPTO,ADAR
"repetition, nos", Plos General
"seems to parrot or mimic what is said", Plos General
"brief definit direct gaze", ADAR
"natural process or phenomenone nos", ADAR
"social dependence on others", ASDPTO,ADAR
"receptive & expressive language difficulties", Plos General
"not available nodding", ADAR
"difficulty sustaining conversation", Plos General
"imitative social play", ADAR
"tends to twirl ropes or strings throughout the house repetitively", Plos General
"regular showing of objects by bringing and directing attention", ADAR
"played with toys by mother's side", Plos General
"slow to talk", Plos General
"lack of communicator initiative & responsiveness", Plos General
"does not have good peer relationships", Plos General
"congenital kidney defect", ASDPTO
"not interacting socially with others", Plos General
"social engagement and responsiveness definite loss", ADAR
"stomach ulcer", ASDPTO
"autoimmune diseases", ASDPTO
"processual entity", ADAR
"finger flicking", Plos General
"impairment in eye-to-eye gaze", Plos General
"decreased eye contact", Plos General
"endocrine system diseases", ASDPTO
"inspected toys and played with toys", Plos General
"little social interaction with others", Plos General
"not socially connected to parents", Plos General
"temporal interval", ADAR
"self-injurious behavior", ASDPTO,ADAR,Plos General
"body temperature changes", ASDPTO
"interacted with examiner in quiet, withdrawn manner", Plos General
"repetitive actions", ASDPTO,ADAR
"inflexibility with regard to routines", Plos General
"receptive language", ASDPTO,ADAR
"loves to spin", Plos General
"definite sensitivity to noises that are not distressing to most other people", ADAR
"did initiate contact", Plos General
"makes effort at maintaining routine", Plos General
"no circumscribed interests", ADAR
"intentional cruelty", ASDPTO,ADAR
"substance abuse", ASDPTO
"does not initiate any social behavior with family or individuals", Plos General
"no complex mannerisms or stereotyped body movements", ADAR
"lack of 'connecting'", Plos General
"appropriateness of social responses", ADAR
"eye contact non-existent", Plos General
"engaging in social play", ASDPTO,ADAR
"spontaneous imitations of vocalization", ADAR
"difficulty using non-verbal communication", Plos General
"prefers a consistent routine; cries if changes are made", Plos General
"very little in the way of social responsiveness or rapport", Plos General
"congenital rubella syndrome", ASDPTO
"awareness and avoidance of danger", ASDPTO,ADAR
"speech tendsortended to be more repetitive than most subject", ADAR
"spontaneous imitation of a varied range of nontaught actions", ADAR
"interested in interacting with other children", Plos General
"social interaction clearly disturbed", Plos General
"interacts with peers", Plos General
"motor milestones", ADAR
"does not engage in meaningful reciprocal social interactions", Plos General
"cry as hypersensitive to stimulus", Plos General
"thyroid diseases", ASDPTO
"does not appropriately respond verbally", Plos General
"plays alone", Plos General
"eye contact difficult to obtain, tended to be fleeting", Plos General
"procedures during pregnancy", ASDPTO
"cranial nerve diseases", ASDPTO
"speech peculiar or difficult to understand", ADAR
"circumscribed interests notavailable", ADAR
"loss of language skills or other skills", ADAR
"abnormal speech", ADAR
"psychiatric hospitalization", ASDPTO
"fine motor skills", ASDPTO,ADAR
"unusually negative reaction to minor changes in subjects own routines", ADAR
"isolated cognitive skills", ASDPTO,ADAR
"shows no interest in other children", ADAR
"stereotypical utterances", Plos General
"prader-willi syndrome", ASDPTO
"processual context", ADAR
"play on trampoline for hours", Plos General
"complications in infancy", ASDPTO
"non-verbal communication", ASDPTO,ADAR
"suggests imitation", Plos General
"has partial response or indirect physical approach", ADAR
"receptive morphology", ASDPTO,ADAR
"comprehension of simple language notavailable", ADAR
"cannot be engaged", Plos General
"interest with mechanical devices", Plos General
"spatiotemporal region", ADAR
"intermittent eye contact", Plos General
"no attempt to interact with examiner", Plos General
"lead exposure", ASDPTO
"walks in straight and specific patterns", Plos General
"observes other children rather than join in", Plos General
"quite marked resistance to change", Plos General
"spontaneous imitation of actions notavailable", ADAR
"ritualistic behavior", Plos General
"poor eye contact", Plos General
"refer to self by name afterphrase speech established", ADAR
"fragile x syndrome", ASDPTO
"some repetitive use of objects", ADAR
"visual perception", ASDPTO,ADAR
"dependent continuant", ADAR
"repetitious, recitation-like quality", Plos General
"peer interactions are directed by self", Plos General
"interacted with toys in addition to naming them", Plos General
"echolalic tendencies in his toddler years", Plos General
"congenital abnormalities", ASDPTO
"eye contact never established", Plos General
"frequent attempts to direct attention to things enjoys", ADAR
"insists on sameness", Plos General
"social interest", ASDPTO,ADAR
"needs lots of structure and consistency", Plos General
"normal social play", ADAR
"no functional language", Plos General,Plos General
"easily upset by change in routines", Plos General
"difficulty establishing close relationships", Plos General
"diabetes mellitus type 1", ASDPTO
nk communicative intent
"savant positive", ADAR
"compulsions or rituals", ADAR
"mental retardation", ASDPTO
somewhat withdrawn
"connected spatiotemporal region", ADAR
"limited interaction with other individuals", Plos General,Plos General
"very preoccupied with cartoons", Plos General
"no words", Plos General
"very limited eye contact", Plos General
"delay language", Plos General
"atypical child with whom to interact", Plos General
"occasional placement of others hand on objects", ADAR
"limited spontaneous use", ADAR
"sometimes making poor eye contact", Plos General
"avoided eye contact", Plos General
"hitting himself on head", Plos General
"general self stimulation", Plos General
"preoccupied with touching things", Plos General
"he did not initiate eye contact", Plos General
"refused efforts to interact", Plos General
"social engagement and responsiveness no loss", ADAR
"use of everyday household items", ASDPTO,ADAR
"no problems noted by parents", ADAR
"some self-stimulatory behavior", Plos General
"first walked unaided", ADAR
"process boundary", ADAR
"scattered temporal region", ADAR
"some self-stimulating verbal activity - stereotype behavior of naming letters & some numbers with articulation", Plos General
"perseverative at watching videos and other activities", Plos General
"insistence on order", ASDPTO,ADAR
"angry in response to change in routine", Plos General
"phrases are almost exclusively stereotyped utterances", ADAR
"hyper- or hypo-reactivity to sensory input or unusual interest in sensory aspects of environment; (such as apparent indifference to pain/heat/cold, adverse response to specific sounds or textures, excessive smelling or touching of objects, fascination with lights or spinning objects).", Plos General
"fascinated by spinning objects", Plos General
"picks at his skin", Plos General
"one or more relationships with person in approximately own age group", ADAR
"social anxiety", ASDPTO,ADAR
"predictable abnormal idiosyncratic negative response to one or more sensory stimuli some intrusion to ordinary activities", ADAR
"speech tone high-pitched", Plos General
"plays randomly with toys", Plos General
"imaginative play", ADAR
"fixated on horses", Plos General
"genetic function", ADAR
"age parents first noticed something was mot right", ADAR
"eye contact of marginal quality", Plos General
"play is limited to a few preferred items", Plos General
"eye to eye gaze", ADAR
"expressive language, often echolalic-like", Plos General
"one dimensional region", ADAR
"delayed language abilities", Plos General
"integrated verbal and nonverbal communication", ASDPTO,ADAR
"makes scarce eye contact", Plos General
"much of his speech is repetitive", Plos General
"depressive disorder", ASDPTO
"development in the dirst 3 years of life clearly normal", ADAR
"muscle weakness", ASDPTO
"neurologic indications", ASDPTO
"pregnancy outcome", ASDPTO
"did not sustain eye contact", Plos General
"independent continuant", ADAR
"peculiar, avoidant, disengaged", Plos General
"bacterial infections", ASDPTO
"reciprocal conversation", ADAR
"she did not engage in my obvious pretend play", Plos General
"response inhibition", ASDPTO,ADAR
"sense of disconnectedness was frequently present", Plos General
"initiates little in the way of contact with friends", Plos General
"seeks out contact with other children", Plos General
"tolerant of heat", Plos General
"behaves as if deaf", Plos General
"fails to use language as a form of social interaction", Plos General
"some clear positive responses and interactions", ADAR
"problems present in first 12 months", ADAR
"playing excessively with certain objects", Plos General
"speech, aprosodic", Plos General
"delayed articulation", Plos General
"pronominal reversal", ADAR
"some echolalia", Plos General
"language delays", Plos General
"direct gaze", ADAR
"can usually get object from another room when requested", ADAR
"arm waving when excited", Plos General
"some evidence of smiling while looking at people", ADAR
"self injurious behavior", Plos General
"did not participate in any turn taking activities", Plos General
"irritable bowel syndrome", ASDPTO
"awareness of social cues", ASDPTO,ADAR
"staring into mirror, lights", Plos General
"never offers comfort to others", ADAR
"angelman syndrome", ASDPTO
"solitary in his play", Plos General
"understands fewer than 50 words", ADAR
"watches children, but doesn't participate", Plos General
"often repeats phrases from videos", Plos General
"definite loss of articulation", ADAR
"no loss of language skills", ADAR
"lack of appropriate guilt", ASDPTO,ADAR
"only rarely likes to play with other children", Plos General
"speech and language delay", Plos General
"some evidence of echolalia", Plos General
"limited attempt", ADAR
"verbal rituals", ADAR
"delayed speech", Plos General
"medium insistence on sameness", ADAR
"seems to want to be in the same room as other children, but is not actively involved in their activity", Plos General
"opens and closes toy car doors and looks inside over and over", Plos General
"insufficient language to show change five meaningful words use", ADAR
"schizophrenia and disorders with psychotic features", ASDPTO
"facial expression is lacking for any social interchange", Plos General
"migraine disorders", ASDPTO
"no conversational speech", Plos General
"no voluntary interaction with therapist", Plos General
"made intermittent eye contact", Plos General
"toys not used in any purposeful manner", Plos General
"medical history", ASDPTO
"ability to sustain speech", ADAR
"loss of language skills but not associated with physical illness", ADAR
"interest in children", ADAR
"lacks socialization skills with other children", Plos General
"responds to parentsorcaregiver and others in familiar settings", ADAR
"ability to convey correct information", ASDPTO
"unusual sensory interests", ASDPTO,ADAR,ADAR
"restrictive behavior, interests, and activities", Plos General
"daily spontaneous and meaningful speech", ADAR
"peer relationship", ADAR
"no eye gaze and vocalization", ADAR
"severe speech/language retardation", Plos General
"difficulty making conversation", Plos General
"suspicious of others", ASDPTO
"only occasional midline hand movements", ADAR
"easily upset when routines are broken", Plos General
"obsesses on bendable objects", Plos General
"zero interaction with people", Plos General
"able to initiate a social interaction", Plos General
"marked mannerisms associated with social impairment", ADAR
loss of language skills nk
"withdrawn, passive behavior", Plos General
"obsessive rituals before going to bed, opening cupboards", Plos General
"smith-lemli-opitz syndrome", ASDPTO
"rare or no social approaches of showing and directing attention", ADAR
"no confusion after pharse speech with pronoun use established", ADAR
"play is extremely limited", Plos General
"speech delays", Plos General
"play behavior", ADAR
"socially, he is a loner", Plos General
"executive function", ASDPTO,ADAR
"refusing to eat food if not cut in a certain way", Plos General
"imaginary play great", Plos General
"rigidity of routines", Plos General
"apgar score", ASDPTO
"idiosyncratic movements, walking fingers across table", Plos General
"verbal communication", Plos General
"normal reciprocal direct gaze", ADAR
"intonation volume rhythm rate notavailable", ADAR
"preoccupation with cutting up paper into small pieces", Plos General
"language continues to be quite stereotypical and quite echolalic", Plos General
"constructive or imaginative play no loss", ADAR
"he only plays by himself", Plos General
"tuberous sclerosis", ASDPTO,ADAR
"decreased interaction with other children", Plos General
"preoccupation with bouncing ball", Plos General
"repetitive head banging", Plos General
"very little interaction with people around him", Plos General
"he only provides a fleeting eye contact", Plos General
"high-pitched and repetitive vocalizations", Plos General
"usually looks up and pays attention when spoken to", ADAR
"destructive behavior", ASDPTO,ADAR
"repetitive clapping", Plos General
"vineland survey interview - 2005", ADAR
"herpesviridae infections", ASDPTO
"maintenance and organization of possessions", ASDPTO,ADAR
"repetitive use of objects or interest in parts of objects notavailable", ADAR
"arm biting", Plos General
"self-harm, deliberate", Plos General
"little or no comprehension of words", ADAR
"plugging ear with thumb", Plos General
"autistic disorder", ASDPTO
"he likes to spin and twirl", Plos General
"social disinhibition notavailable", ADAR
"nonverbal social interaction capability", ADAR
"down syndrom", ADAR
"self help skills", ADAR
"engages in much imaginative play", Plos General
"hyper-reactivity to sensory input", Plos General
"rarely or never uses stereotyped phrases", ADAR
"consistent lack of social reciprocity", Plos General
"metabolic indications", ASDPTO
"imaginative play notavailable", ADAR
"regression of language skills", ASDPTO,ADAR
"not interested in interacting with other children", Plos General
"likes to be around children, doesn't play with them", Plos General
"flexibly and spontaneously offers comfort", ADAR
"task completion", ASDPTO,ADAR
"unusual preoccupations", ADAR
"diminished eye contact with examiner", Plos General
"high insistence on sameness", ADAR
"adherence to routine", Plos General
"perinatal history", ASDPTO
"social verbalization chat", ADAR
"facial expression", ADAR
"likes to spin in circles", Plos General
"relatively poor social interaction", Plos General
"relating to others", ASDPTO,ADAR
"range of facial expressions used to communicate", ADAR
"intense interests", ASDPTO,ADAR
"first walked unaided milestone not reached", ADAR
"usually watches other children or indicates interest in them to caregiver", ADAR
"restricted and unusual interests", ASDPTO,ADAR
"repetitive stereotypical behavior", ADAR
"central nervous system diseases", ASDPTO
"initiates social exchanges", Plos General
"difficulty with changes in routine", Plos General
"overall speech is delayed", Plos General
"interpersonal awareness", ASDPTO,ADAR
"motor perseveration", ASDPTO,ADAR
"some evidence of reciprocal social smiling", ADAR
"cranial anomalies", ADAR
"response to approaches of other children notavailable", ADAR
"does not use pronouns", Plos General
"impaired social interaction", Plos General
"inappropriate facial expressions notavailable", ADAR
"echo reaction", Plos General
"does not play with other children", Plos General
"no predictable abnormal idiosyncratic negative response to specific sensoty stimuli", ADAR
"understands many words", ADAR
"risk factor", ADAR
"excessive focus on cars and trains", Plos General
"certainly does seek out attention", Plos General
"reciprocal social interaction", ASDPTO,ADAR
"molecular function", ADAR
"social disinhibition", ADAR
"one or more activities that subject has to preform in a special way if disrupted appears to be under marked pressure", ADAR
"narrowed involvement with play activities", Plos General
"some social use", ADAR
"parallel play", Plos General
"peculiar preoccupation with horizontal and vertical planes", Plos General
"refineable entity", ADAR
"non-verbal social skills are poor", Plos General
"no imitative play", Plos General
"friendships notavailable", ADAR
"fascinated by anything with letters", Plos General
"she does engage in interactive play with other children easily", Plos General
"shows one or two unusual interests regularly", ADAR
"strange, unusual 'oowing' noise", Plos General
"plays abnormally with toys", Plos General
"fills and empties bank with coins repeatedly", Plos General
"eating ability", ASDPTO,ADAR
"problems not present before first birthday", ADAR
"stereotypic play with wheels", Plos General
"parents describe him as a loner", Plos General
"motor skills", ASDPTO,ADAR,ADAR
"pregnancy complications", ASDPTO
"distant or preoccupied affect", ASDPTO,ADAR
"restricted and repetitive behavior", ASDPTO,ADAR
"making voices", Plos General
"no social responsiveness", Plos General
"preoccupied with wires and cords", Plos General
"doesn't play with anyone", Plos General
"sometimes nods spotaneously", ADAR
"abnormal response to sound", Plos General
"delayed; articulation", Plos General
"imaginative play with peers", ADAR
"impaired social interactions", Plos General
"some echolalic tendencies were heard", Plos General
"social reciprocity", ADAR
"purposive hand movements", ADAR
"slapping hands under chin", Plos General
"playing with cage / netting over and over", Plos General
"echophrasia", Plos General
"finger wiggling", Plos General
"trouble making eye contact", Plos General
"does not usually play with other children", Plos General
"does not use body posture to communicate", Plos General
"sharing good thing", ADAR
"language development", ASDPTO,ADAR
"expressive lexicon", ASDPTO,ADAR
"not delayed word", ADAR
"use of free time", ASDPTO,ADAR
"form perception", ASDPTO,ADAR
"group play with peers", ADAR
"problems with reciprocal social interactions", Plos General
"no play with other children or not pretend play even on own", ADAR
"resists being held, hugged or shown physical affection", Plos General
"looking through you, content to be in her own little world", Plos General
"attention deficit disorder with hyperactivity", ASDPTO
"does not play with toys in the fashion intended", Plos General
"mask-like facial expression", Plos General
"impairment of peer relationship", ADAR
"little eye contact", Plos General
"intonation volume rhythm rate", ADAR
"low repetitie sensory motion", ADAR
"will manipulate things, take things apart", Plos General
"aprosodic speech", Plos General
"upset if meals don't occur at exactly the same time", Plos General
"organ or tissue function", ADAR
"has no unusual sensory interests", ADAR
"she has no words", Plos General
"shows poor eye contact", Plos General
"difficulty understanding appropriate use of pronouns and speaking", Plos General
"eye contact fair", Plos General
"inappropriate facial expressions", ADAR
"usually plays alone", Plos General
"rarely offers comfort or only in odd ways", ADAR
"adaptive life skills", ASDPTO,ADAR
"sits on bed and rocks", Plos General
"uses only single words", Plos General
"shows a need for routine", Plos General
"does not interact much with other children", Plos General
"speech echolalic", Plos General
"repeating sounds in perseverative way", Plos General
"hand licking", Plos General
"delayed; speech", Plos General
nk syntactical skills
"definite loss of syntactical skills", ADAR
"no phrases", ADAR
"acquisition of bowel control", ADAR
"head shaking", ADAR,Plos General
"impairment of communication capability", ADAR
"does not seek out contact with other children", Plos General
"perseverates on a single topic", Plos General
"likes to have matters on things the same", Plos General
"bothered by loud volume on radio", Plos General
"social smiling notavailable", ADAR
"pronominal confusion other", ADAR
"no imaginative play", Plos General
"he can be totally absorbed in watching television", Plos General
"insistence on routine", ASDPTO,ADAR
"significant lack in communication skills", Plos General
"limited eye contact", Plos General
"loves to tap finger on table", Plos General
"inappropriate eating behavior", Plos General
"one or more relationships that involve some personal shared activities", ADAR
"repeating words", Plos General
"not delayed phrases", ADAR
"has unusual sensory interest that takes up a major amount of time", ADAR
"memorization of lengthy book passages", Plos General
"very rare or no spontaneous imitation", ADAR
"repetitive speech", Plos General
"initiates social behavior with family or individuals", Plos General
"prefers to look at people out of corner of eye", Plos General
"eye contact fleeting", Plos General
"social smiling", ADAR
"spoke in broken sentences ('me do')", Plos General
"celiac disease", ASDPTO
"zero dimensional region", ADAR
"repetitive, stereotypic utterances", Plos General
"definite frequent hand mannerisms or finger flicking", ADAR
"hand clapping", Plos General
"has friends, but is socially inept", Plos General
"delayed echolalia", Plos General
"turning water and light switches on and off", Plos General
"development or regression of language skills", ASDPTO,ADAR
"repetitive spinning of whole body", Plos General
"uninterested in playing with other children", Plos General
"development probably abnormal by the age of 3 years", ADAR
"flapping movements of hands", Plos General
"participation in athletic activities", ASDPTO,ADAR
"avoidant of mutual play", Plos General
"consistently uses eye gaze with vocalization", ADAR
"limited social interaction", Plos General
"decreased social interactions", Plos General
"definite frequent other mannerisms or stereotypies", ADAR
"delayed phrases", ADAR
"fascinated with dolls that have eyes that open and close", Plos General
"he has a fascination with objects", Plos General
"marked mannerisms of type specified", ADAR
"congenital heart defects", ASDPTO
"three dimensional region", ADAR
"eye contact abnormal", Plos General
"has had profound language delay", Plos General
"tipping a cup of water into the sink over and over", Plos General
"visual thinking", ASDPTO,ADAR
"little or no reciprocal conversation", ADAR
"plays with people as objects", Plos General
"trouble playing with toys", Plos General
"uncertain occasional direct gaze", ADAR
"inappropriate questions or statements", ADAR
"repetitive activities such as counting objects", Plos General
"has about five words", Plos General
"zero interactive play", Plos General
"overall level of language", ADAR
"delayed walked unaided", ADAR
"hypersensitive to stimuli", Plos General
"notavailable head shaking", ADAR
"no change or loss", ADAR
"lack of facial expression", Plos General
"self concept", ASDPTO,ADAR
"realizable entity", ADAR
"anger control", ASDPTO,ADAR
"reaction, echo", Plos General
"impulse control and regulation", ASDPTO,ADAR
"memorizing telephone numbers", Plos General
"none resistance to trivial changes in the environment", ADAR
"performance of household tasks", ASDPTO,ADAR
"loss of articulation", ADAR
"produced speech or sounds upon request", ADAR
"does not engage in reciprocal play", Plos General
"plays for long periods by himself", Plos General
"has manifested stereotypic - like movements", Plos General
"very focused and intense on single activities / objects to the point of tuning everyone out", Plos General
"most of time he plays by himself", Plos General
"acquisition of control certainty", ADAR
"tapping finger and thumb together", Plos General
"social engagement and responsiveness", ADAR
"very little eye contact", Plos General
"spinning wheels of toys", Plos General
"occasionally echolalic", Plos General
"spatial region", ADAR
"lines up objects", Plos General
"tourette syndrome", ASDPTO
"no indication of creative or representational play", Plos General
"childhood disintegrative disorder", ASDPTO,ADAR
"regard for customs and manners", ASDPTO,ADAR
"likes to watch wheels spin", Plos General
"looked at me only fleetingly", Plos General
"continues stereotypical play", Plos General
"has few toys", Plos General
"offering comfort notavailable", ADAR
"play linked to highly stereotyped use of objects and prevents other activities", ADAR
"picking or pulling hair out", Plos General
"enjoys spinning wheels of cars", Plos General
"toe-walking gait", Plos General
"loss of skills", ADAR
"socially, he isolates himself", Plos General
"generally responsive to other childrens approaches", ADAR
"expressive language", ASDPTO,ADAR
"speech delay", Plos General
"only plays by lining things up", Plos General
vocabulary term
"enters into interactions with other children", Plos General
"no sharing", ADAR
"substance abuse during pregnancy", ASDPTO
"fiat process part", ADAR
"resistance to trivial changes in the environment not directly affecting the subject", ADAR
"delayed; language", Plos General
"preoccupation with television", Plos General
"no spontaneous speech", Plos General
"difficulty playing with peers, particularly in terms of both initiating and maintaining contact", Plos General
"engages in meaningful reciprocal social interactions", Plos General
"natural phenomenon or process", ADAR
"participation in play activities", ASDPTO,ADAR
"assiduously avoided any eye contact", Plos General
"isolative behavior", Plos General
"does not engage in much imaginative play", Plos General
"ability to engage in casual conversation", ASDPTO,ADAR
"dietary supplements", ASDPTO
"pacing the floor", Plos General
"focused attention on wheels of car", Plos General
"little or no emotions indication facial expression range", ADAR
"hand flapping", Plos General
"shows interest in peer relations", Plos General
"some stereotypic hand movements were observed", Plos General
"ringing of hands", Plos General
"reaction to unexpected change", ASDPTO,ADAR
"probable loss of five meaningful words use", ADAR
"not attending to social approaches from adults", Plos General
"hand and finger mannerisms notavailable", ADAR
"autism spectrum disposition", ADAR
"number of rituals", Plos General
"self-destructive behavior", Plos General
"sorting ability", ASDPTO,ADAR
"present or absent", ADAR
"alcohol drinking", ASDPTO
"abnormal non-verbal communication", Plos General
"inappropriate questions or statements notavailable", ADAR
"very poor eye contact", Plos General
"eats abnormal objects", Plos General
"pounds head", Plos General
"keeps to self", ASDPTO,ADAR
"did not establish good eye contact", Plos General
"he did not provide any eye contact", Plos General
"spinning wheels repetitively", Plos General
"clear social quality", ADAR
"delayed or lack of receptive language", Plos General
"abstract thinking", ASDPTO,ADAR
"mostly ignored me", Plos General
"significantly delayed speech and language development", Plos General
"blowing on hand", Plos General
"combined communication and social intereaction functioning", ADAR
"difficulty with social interaction", Plos General
"seeking to share herhis enjoyment with others notavailable", ADAR
"finger flicking in front of face", Plos General
"showing emotion", ASDPTO,ADAR
"some cooperative play but of insufficient initiative", ADAR
"did not initiate any interaction, verbal or nonverbal", Plos General
"level of communicative language before loss", ADAR
"managing internal emotions", ASDPTO,ADAR
"home life skills", ASDPTO,ADAR
"unusual hand movements", Plos General
"notavailable conventional or instrumental gestures", ADAR
"perinatal exposures", ASDPTO
"language delay", Plos General
"acquisition of bladder control daytime", ADAR
"changes can be very upsetting to her", Plos General
"sing-songy sounds", Plos General
"probable loss of syntactical skills", ADAR
"functional laterality", ASDPTO,ADAR
"no systematic, interactive non-verbal communication", Plos General
"rarely establishes eye contact", Plos General
"pathologic function nos", ADAR
"self-stimulatory behaviors including spinning", Plos General
"qualitative measure", ADAR
"social competence", ASDPTO,ADAR
"some speech to alert caregiver", ADAR
"fast forward and rewinds videos to which he is deeply attached and sleeps with", Plos General
"attention and focus", ASDPTO,ADAR
"insufficient language to show change in articulation", ADAR
"rapid finger movements", Plos General
"stereotypic finger movements", Plos General
"social awkwardness", ASDPTO,ADAR
"uses people as objects", Plos General
"repetitive spinning of objects", Plos General
"initiate any interaction, verbal or nonverbal", Plos General
"fewer than five words total or speech not used on a daily basis", ADAR
"plays with manipulative toys", Plos General
"mental process", ADAR
"reaction to sensory stimuli", ASDPTO,ADAR
"definite unusual and marked resistance to minor changes in subjects own routines", ADAR
"process aggregate", ADAR
"citation record", ADAR
"engaging in specific play activity", Plos General
"motor skills no loss", ADAR
"understanding the effect of ones actions", ADAR
"some pretend play", ADAR
"he cannot tolerate changes in his routine", Plos General
"disregards all attempts to interact with him", Plos General
"becomes upset if parents fail to follow specific car route", Plos General
did not initiate any eye contact
"he will resist being held, hugged or shown physical affection", Plos General
"hand sucking", Plos General
"is in his own little world", Plos General
"spontaneous social interaction", Plos General
"interacting socially with others", Plos General
"interaction with people", Plos General
"socially disconnected", Plos General
"no functional use of three-word phrases", ADAR
"becomes very upset with change to his routine", Plos General
"stereotyped utterances and delayed echolalia notavailable or no phrase", ADAR
"does not play with manipulative toys", Plos General
"imitative play", Plos General
"loves to spin in circles", Plos General
"circumscribed interests", ADAR
"avoids play with his peers", Plos General
"only a few toys with which he will play", Plos General
"age group", ADAR
"midline hand movements notavailable", ADAR
"runs on tip toes", Plos General
"no definite loss of five meaningful words use", ADAR
"emotional traits", ASDPTO,ADAR
"definite circumscribed interest that causes clear cut social impairment", ADAR
"regression of general skills", ASDPTO,ADAR
"comprehension of simple language", ADAR
"no definite loss of articulation", ADAR
"no unusual preoccupation", ADAR
"minimal interaction with examiner", Plos General
"usually does not look up or pay attention when spoken to", ADAR
"adherence to rules in the community", ASDPTO,ADAR
"repeats / imitates almost all words said to him", Plos General
"pronominal confusion when asking a question", ADAR
"imaginary play minimal", Plos General
"echolalia tendencies heard", Plos General
"offering to share", ADAR
"unusual sounds such as squealing or guttural sounds", Plos General
"is interactive", Plos General
"probable loss of articulation", ADAR
